"CCAA","año","total","mes"
"01 Andalucía","2008","1.3",""
"01 Andalucía","2007","4.2",""
"01 Andalucía","2006","2.9",""
"01 Andalucía","2005","3.6",""
"01 Andalucía","2004","3.1",""
"01 Andalucía","2003","2.6",""
"01 Andalucía","2002","3.9",""
"01 Andalucía","2001","2.8",""
"01 Andalucía","2000","3.8",""
"01 Andalucía","1999","2.4",""
"02 Aragón","2008","1.6",""
"02 Aragón","2007","4.4",""
"02 Aragón","2006","2.9",""
"02 Aragón","2005","3.8",""
"02 Aragón","2004","3.2",""
"02 Aragón","2003","2.4",""
"02 Aragón","2002","4.1",""
"02 Aragón","2001","2.5",""
"02 Aragón","2000","3.7",""
"02 Aragón","1999","3.2",""
"03 Asturias, Principado de","2008","1.6",""
"03 Asturias, Principado de","2007","4.1",""
"03 Asturias, Principado de","2006","2.4",""
"03 Asturias, Principado de","2005","3.5",""
"03 Asturias, Principado de","2004","3.1",""
"03 Asturias, Principado de","2003","2.4",""
"03 Asturias, Principado de","2002","3.8",""
"03 Asturias, Principado de","2001","2.4",""
"03 Asturias, Principado de","2000","4.3",""
"03 Asturias, Principado de","1999","2.6",""
"04 Balears, Illes","2008","1.3",""
"04 Balears, Illes","2007","3.9",""
"04 Balears, Illes","2006","2.8",""
"04 Balears, Illes","2005","3.5",""
"04 Balears, Illes","2004","3",""
"04 Balears, Illes","2003","2.3",""
"04 Balears, Illes","2002","4.5",""
"04 Balears, Illes","2001","3.7",""
"04 Balears, Illes","2000","3.8",""
"04 Balears, Illes","1999","3",""
"05 Canarias","2008","1.6",""
"05 Canarias","2007","4.3",""
"05 Canarias","2006","2",""
"05 Canarias","2005","2.8",""
"05 Canarias","2004","2.5",""
"05 Canarias","2003","1.9",""
"05 Canarias","2002","3.2",""
"05 Canarias","2001","2.4",""
"05 Canarias","2000","3.5",""
"05 Canarias","1999","2.4",""
"06 Cantabria","2008","1.3",""
"06 Cantabria","2007","4.4",""
"06 Cantabria","2006","2.7",""
"06 Cantabria","2005","3.6",""
"06 Cantabria","2004","2.8",""
"06 Cantabria","2003","2.6",""
"06 Cantabria","2002","3.7",""
"06 Cantabria","2001","3",""
"06 Cantabria","2000","3.5",""
"06 Cantabria","1999","2.9",""
"07 Castilla y León","2008","1.1",""
"07 Castilla y León","2007","4.5",""
"07 Castilla y León","2006","2.7",""
"07 Castilla y León","2005","3.7",""
"07 Castilla y León","2004","3.1",""
"07 Castilla y León","2003","2.1",""
"07 Castilla y León","2002","3.6",""
