"CCAA","Total","Año","Mes"
"01 Andalucía","3.3","2023","M1"
"01 Andalucía","6.2","2022","M1"
"01 Andalucía","6.7","2021","M1"
"01 Andalucía","-0.3","2020","M1"
"01 Andalucía","0.5","2019","M1"
"02 Aragón","2.5","2023","M1"
"02 Aragón","5.9","2022","M1"
"02 Aragón","7.2","2021","M1"
"02 Aragón","-0.6","2020","M1"
"02 Aragón","0.8","2019","M1"
"03 Asturias, Principado de","2.9","2023","M1"
"03 Asturias, Principado de","5.8","2022","M1"
"03 Asturias, Principado de","6.2","2021","M1"
"03 Asturias, Principado de","-0.6","2020","M1"
"03 Asturias, Principado de","0.4","2019","M1"
"04 Balears, Illes","3.3","2023","M1"
"04 Balears, Illes","5.5","2022","M1"
"04 Balears, Illes","6.5","2021","M1"
"04 Balears, Illes","-0.4","2020","M1"
"04 Balears, Illes","1","2019","M1"
"05 Canarias","3.8","2023","M1"
"05 Canarias","5.8","2022","M1"
"05 Canarias","5.8","2021","M1"
"05 Canarias","-0.1","2020","M1"
"05 Canarias","0.4","2019","M1"
"06 Cantabria","3.3","2023","M1"
"06 Cantabria","5.3","2022","M1"
"06 Cantabria","6.8","2021","M1"
"06 Cantabria","-0.5","2020","M1"
"06 Cantabria","0.9","2019","M1"
"07 Castilla y León","2.8","2023","M1"
"07 Castilla y León","6.5","2022","M1"
"07 Castilla y León","7.3","2021","M1"
"07 Castilla y León","-0.7","2020","M1"
"07 Castilla y León","1","2019","M1"
"08 Castilla - La Mancha","3.4","2023","M1"
"08 Castilla - La Mancha","6.8","2022","M1"
"08 Castilla - La Mancha","7.6","2021","M1"
"08 Castilla - La Mancha","-0.9","2020","M1"
"08 Castilla - La Mancha","0.9","2019","M1"
"09 Cataluña","3.2","2023","M1"
"09 Cataluña","5.2","2022","M1"
"09 Cataluña","6.1","2021","M1"
"09 Cataluña","-0.6","2020","M1"
"09 Cataluña","0.9","2019","M1"
"10 Comunitat Valenciana","3.3","2023","M1"
"10 Comunitat Valenciana","5.5","2022","M1"
"10 Comunitat Valenciana","6.8","2021","M1"
"10 Comunitat Valenciana","-0.5","2020","M1"
"10 Comunitat Valenciana","0.7","2019","M1"
"11 Extremadura","2.4","2023","M1"
"11 Extremadura","6.5","2022","M1"
"11 Extremadura","7.1","2021","M1"
"11 Extremadura","-0.5","2020","M1"
"11 Extremadura","0.7","2019","M1"
"12 Galicia","3.2","2023","M1"
"12 Galicia","6.4","2022","M1"
"12 Galicia","6.7","2021","M1"
"12 Galicia","-0.4","2020","M1"
"12 Galicia","0.7","2019","M1"
"13 Madrid, Comunidad de","2.7","2023","M1"
"13 Madrid, Comunidad de","4.9","2022","M1"
"13 Madrid, Comunidad de","6.2","2021","M1"
"13 Madrid, Comunidad de","-0.8","2020","M1"
"13 Madrid, Comunidad de","0.9","2019","M1"
"14 Murcia, Región de","3","2023","M1"
"14 Murcia, Región de","6.3","2022","M1"
"14 Murcia, Región de","6.3","2021","M1"
"14 Murcia, Región de","-0.4","2020","M1"
"14 Murcia, Región de","0.7","2019","M1"
"15 Navarra, Comunidad Foral de","2.9","2023","M1"
"15 Navarra, Comunidad Foral de","6.4","2022","M1"
"15 Navarra, Comunidad Foral de","6.6","2021","M1"
"15 Navarra, Comunidad Foral de","-0.6","2020","M1"
"15 Navarra, Comunidad Foral de","1.3","2019","M1"
"16 País Vasco","3.1","2023","M1"
"16 País Vasco","5.4","2022","M1"
"16 País Vasco","6.4","2021","M1"
"16 País Vasco","-0.3","2020","M1"
"16 País Vasco","1.2","2019","M1"
"17 Rioja, La","3.1","2023","M1"
"17 Rioja, La","5.8","2022","M1"
"17 Rioja, La","7","2021","M1"
"17 Rioja, La","-0.8","2020","M1"
"17 Rioja, La","1","2019","M1"
"18 Ceuta","3.3","2023","M1"
"18 Ceuta","6.2","2022","M1"
"18 Ceuta","5.5","2021","M1"
"18 Ceuta","-0.4","2020","M1"
"18 Ceuta","0.3","2019","M1"
"19 Melilla","3.4","2023","M1"
"19 Melilla","6.6","2022","M1"
"19 Melilla","6.9","2021","M1"
"19 Melilla","0.1","2020","M1"
"19 Melilla","0.5","2019","M1"
