Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Variación anual;2014M12;-1,2
01 Andalucía;Variación anual;2014M11;-0,5
01 Andalucía;Variación anual;2014M10;-0,2
01 Andalucía;Variación anual;2014M09;-0,3
01 Andalucía;Variación anual;2014M08;-0,8
01 Andalucía;Variación anual;2014M07;-0,6
01 Andalucía;Variación anual;2014M06;-0,1
01 Andalucía;Variación anual;2014M05;0,1
01 Andalucía;Variación anual;2014M04;0,3
01 Andalucía;Variación anual;2014M03;-0,1
01 Andalucía;Variación anual;2014M02;-0,2
01 Andalucía;Variación anual;2014M01;0,1
01 Andalucía;Variación anual;2013M12;0,3
01 Andalucía;Variación anual;2013M11;0,2
01 Andalucía;Variación anual;2013M10;-0,1
01 Andalucía;Variación anual;2013M09;0,2
01 Andalucía;Variación anual;2013M08;1,4
01 Andalucía;Variación anual;2013M07;1,6
01 Andalucía;Variación anual;2013M06;1,9
01 Andalucía;Variación anual;2013M05;1,5
01 Andalucía;Variación anual;2013M04;1,2
01 Andalucía;Variación anual;2013M03;2,2
01 Andalucía;Variación anual;2013M02;2,6
01 Andalucía;Variación anual;2013M01;2,5
01 Andalucía;Variación anual;2012M12;2,6
01 Andalucía;Variación anual;2012M11;2,6
01 Andalucía;Variación anual;2012M10;3,1
01 Andalucía;Variación anual;2012M09;3,1
01 Andalucía;Variación anual;2012M08;2,4
01 Andalucía;Variación anual;2012M07;2,0
01 Andalucía;Variación anual;2012M06;1,6
01 Andalucía;Variación anual;2012M05;1,6
01 Andalucía;Variación anual;2012M04;1,8
01 Andalucía;Variación anual;2012M03;1,6
01 Andalucía;Variación anual;2012M02;1,7
01 Andalucía;Variación anual;2012M01;1,7
01 Andalucía;Variación anual;2011M12;2,1
01 Andalucía;Variación anual;2011M11;2,7
01 Andalucía;Variación anual;2011M10;2,9
01 Andalucía;Variación anual;2011M09;3,1
01 Andalucía;Variación anual;2011M08;2,9
01 Andalucía;Variación anual;2011M07;3,1
01 Andalucía;Variación anual;2011M06;3,3
01 Andalucía;Variación anual;2011M05;3,7
01 Andalucía;Variación anual;2011M04;3,9
01 Andalucía;Variación anual;2011M03;3,8
01 Andalucía;Variación anual;2011M02;3,7
01 Andalucía;Variación anual;2011M01;3,5
01 Andalucía;Variación anual;2010M12;3,2
01 Andalucía;Variación anual;2010M11;2,5
01 Andalucía;Variación anual;2010M10;2,5
