Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
01 Andalucía;Índice general;Variación anual;2023M12;3,3
01 Andalucía;Índice general;Variación anual;2023M11;3,5
01 Andalucía;Índice general;Variación anual;2023M10;3,8
01 Andalucía;Índice general;Variación anual;2023M09;3,8
01 Andalucía;Índice general;Variación anual;2023M08;2,9
01 Andalucía;Índice general;Variación anual;2023M07;2,6
01 Andalucía;Índice general;Variación anual;2023M06;2,2
01 Andalucía;Índice general;Variación anual;2023M05;3,7
01 Andalucía;Índice general;Variación anual;2023M04;4,6
01 Andalucía;Índice general;Variación anual;2023M03;3,9
01 Andalucía;Índice general;Variación anual;2023M02;6,6
01 Andalucía;Índice general;Variación anual;2023M01;6,3
01 Andalucía;Índice general;Variación anual;2022M12;6,2
01 Andalucía;Índice general;Variación anual;2022M11;7,3
01 Andalucía;Índice general;Variación anual;2022M10;7,7
01 Andalucía;Índice general;Variación anual;2022M09;9,2
01 Andalucía;Índice general;Variación anual;2022M08;10,9
01 Andalucía;Índice general;Variación anual;2022M07;11,2
01 Andalucía;Índice general;Variación anual;2022M06;10,5
01 Andalucía;Índice general;Variación anual;2022M05;8,9
01 Andalucía;Índice general;Variación anual;2022M04;8,4
01 Andalucía;Índice general;Variación anual;2022M03;9,9
01 Andalucía;Índice general;Variación anual;2022M02;7,8
01 Andalucía;Índice general;Variación anual;2022M01;6,2
01 Andalucía;Índice general;Variación anual;2021M12;6,7
01 Andalucía;Índice general;Variación anual;2021M11;5,4
01 Andalucía;Índice general;Variación anual;2021M10;5,3
01 Andalucía;Índice general;Variación anual;2021M09;4,1
01 Andalucía;Índice general;Variación anual;2021M08;3,3
01 Andalucía;Índice general;Variación anual;2021M07;2,9
01 Andalucía;Índice general;Variación anual;2021M06;2,7
01 Andalucía;Índice general;Variación anual;2021M05;2,7
01 Andalucía;Índice general;Variación anual;2021M04;2,3
01 Andalucía;Índice general;Variación anual;2021M03;1,4
01 Andalucía;Índice general;Variación anual;2021M02;0,0
01 Andalucía;Índice general;Variación anual;2021M01;0,6
01 Andalucía;Índice general;Variación anual;2020M12;-0,3
01 Andalucía;Índice general;Variación anual;2020M11;-0,6
